 Iteration	g0	g1	penalK	penalG	eta	beta	pAgg	change	lambda1	lambda2	Compliance	Vol. Frac.	CPU time	Real time
  1	1.0000	+3.11e-15	 3.0	 3.0	0.50	 2.0	5.000e+01	9.519e-01	1.314e-07	2.471e+00	1.024436e+01	0.1390	2.895000e+02	5.444e+01
  2	0.9930	-1.25e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.599e-02	1.310e-07	2.436e+00	1.027438e+01	0.1389	2.074844e+02	4.037e+01
  3	0.9864	-2.33e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.549e-02	1.322e-07	2.423e+00	1.030282e+01	0.1387	1.847344e+02	3.599e+01
  4	0.9789	-3.48e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.799e-02	1.336e-07	2.413e+00	1.033850e+01	0.1385	2.006562e+02	3.852e+01
  5	0.9708	-4.69e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.081e-02	1.351e-07	2.402e+00	1.038380e+01	0.1384	1.883438e+02	3.676e+01
  6	0.9621	-5.93e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.386e-02	1.368e-07	2.398e+00	1.044115e+01	0.1382	1.762969e+02	3.457e+01
  7	0.9532	-7.15e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.696e-02	1.384e-07	2.394e+00	1.051323e+01	0.1380	1.726719e+02	3.385e+01
  8	0.9444	-8.29e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.980e-02	1.398e-07	2.396e+00	1.060221e+01	0.1379	1.708594e+02	3.386e+01
  9	0.9362	-9.27e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	3.188e-02	1.404e-07	2.390e+00	1.070798e+01	0.1377	1.583438e+02	3.138e+01
 10	0.9291	-9.97e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	3.253e-02	1.402e-07	2.376e+00	1.082698e+01	0.1376	1.650312e+02	3.269e+01
 11	0.9235	-1.04e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	3.140e-02	1.392e-07	2.377e+00	1.095290e+01	0.1376	1.642969e+02	3.251e+01
 12	0.9191	-1.05e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.750e-02	1.383e-07	2.402e+00	1.107490e+01	0.1376	1.527500e+02	3.023e+01
 13	0.9156	-1.05e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.497e-02	1.368e-07	2.424e+00	1.118989e+01	0.1376	1.397969e+02	2.818e+01
 14	0.9130	-1.04e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.262e-02	1.376e-07	2.445e+00	1.128896e+01	0.1376	1.525156e+02	3.012e+01
 15	0.9129	-1.03e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.682e-02	1.417e-07	2.334e+00	1.139250e+01	0.1376	1.567656e+02	3.090e+01
 16	1.0130	-1.18e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	5.105e-02	3.284e-07	1.456e-01	1.153031e+01	0.1374	2.080781e+02	4.038e+01
 17	1.0150	-2.87e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	9.802e-02	1.167e-06	1.906e+00	1.214677e+01	0.1350	1.390781e+02	2.781e+01
 18	1.0629	-4.71e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	9.421e-02	7.969e-03	2.507e+00	1.258171e+01	0.1325	1.584375e+02	3.121e+01
 19	1.0516	-5.63e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	7.140e-02	1.564e-07	2.153e+00	1.296674e+01	0.1312	1.589219e+02	3.108e+01
 20	1.0487	-5.82e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	5.582e-02	1.317e-07	2.580e+00	1.301969e+01	0.1309	1.717500e+02	3.354e+01
 21	1.0387	-5.72e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.544e-02	1.269e-07	2.446e+00	1.292827e+01	0.1311	1.691250e+02	3.348e+01
 22	1.0313	-5.50e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.651e-02	1.266e-07	2.408e+00	1.283215e+01	0.1314	1.623750e+02	3.221e+01
 23	1.0244	-5.29e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.665e-02	1.263e-07	2.399e+00	1.273950e+01	0.1317	1.935938e+02	3.801e+01
 24	1.0176	-5.09e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.029e-02	1.265e-07	2.474e+00	1.264626e+01	0.1319	1.630156e+02	3.207e+01
 25	1.0109	-4.90e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.255e-02	1.266e-07	2.545e+00	1.255990e+01	0.1322	1.626719e+02	3.192e+01
 26	1.0046	-4.71e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.292e-02	1.266e-07	2.597e+00	1.247990e+01	0.1325	1.646719e+02	3.258e+01
 27	0.9984	-4.52e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	9.935e-03	1.263e-07	2.640e+00	1.240333e+01	0.1327	1.612031e+02	3.202e+01
 28	0.9925	-4.35e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.240e-02	1.261e-07	2.662e+00	1.232773e+01	0.1330	1.674375e+02	3.291e+01
 29	0.9867	-4.18e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.655e-02	1.264e-07	2.696e+00	1.225287e+01	0.1332	1.815938e+02	3.535e+01
 30	0.9812	-4.01e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.258e-02	1.264e-07	2.717e+00	1.218478e+01	0.1334	1.675156e+02	3.299e+01
 31	0.9758	-3.86e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.339e-02	1.265e-07	2.727e+00	1.212000e+01	0.1337	1.651094e+02	3.258e+01
 32	0.9706	-3.71e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.278e-02	1.264e-07	2.735e+00	1.205933e+01	0.1339	1.707500e+02	3.363e+01
 33	0.9656	-3.56e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.208e-02	1.264e-07	2.729e+00	1.199941e+01	0.1341	1.680625e+02	3.307e+01
 34	0.9606	-3.42e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.560e-02	1.259e-07	2.729e+00	1.194219e+01	0.1343	1.665938e+02	3.277e+01
 35	0.9559	-3.29e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.107e-02	1.266e-07	2.697e+00	1.188036e+01	0.1344	1.737188e+02	3.427e+01
 36	0.9526	-3.18e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.555e-02	1.303e-07	2.669e+00	1.182815e+01	0.1346	1.626719e+02	3.205e+01
 37	0.9620	-3.16e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	3.281e-02	1.689e-07	2.150e+00	1.180933e+01	0.1346	1.728281e+02	3.386e+01
 38	1.0120	-3.70e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	7.403e-02	1.986e-06	2.349e+00	1.198492e+01	0.1339	1.665000e+02	3.267e+01
 39	1.0232	-4.81e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	7.881e-02	2.027e-07	1.844e+00	1.244802e+01	0.1323	1.661562e+02	3.275e+01
 40	1.0300	-5.45e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	6.596e-02	1.555e-07	2.908e+00	1.259833e+01	0.1314	1.755625e+02	3.426e+01
 41	1.0190	-5.55e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	5.521e-02	1.262e-07	2.338e+00	1.265548e+01	0.1313	1.737188e+02	3.404e+01
 42	1.0110	-5.37e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.003e-02	1.258e-07	2.516e+00	1.255490e+01	0.1316	1.748125e+02	3.406e+01
 43	1.0044	-5.16e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.467e-02	1.257e-07	2.420e+00	1.246489e+01	0.1319	1.571250e+02	3.092e+01
 44	0.9981	-4.96e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.726e-02	1.256e-07	2.453e+00	1.237581e+01	0.1321	1.804688e+02	3.519e+01
 45	0.9919	-4.77e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.311e-02	1.256e-07	2.507e+00	1.228936e+01	0.1324	1.821875e+02	3.545e+01
 46	0.9859	-4.58e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.267e-02	1.256e-07	2.554e+00	1.220729e+01	0.1327	1.760156e+02	3.439e+01
 47	0.9801	-4.40e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.319e-02	1.256e-07	2.598e+00	1.212946e+01	0.1329	1.637812e+02	3.214e+01
 48	0.9745	-4.23e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.689e-02	1.256e-07	2.632e+00	1.205568e+01	0.1331	1.808594e+02	3.515e+01
 49	0.9690	-4.06e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.228e-02	1.256e-07	2.660e+00	1.198526e+01	0.1334	1.730156e+02	3.384e+01
 50	0.9636	-3.91e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.435e-02	1.255e-07	2.683e+00	1.191771e+01	0.1336	1.769844e+02	3.470e+01
 51	0.9583	-3.75e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.496e-02	1.257e-07	2.709e+00	1.185239e+01	0.1338	1.711562e+02	3.358e+01
 52	0.9532	-3.61e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.268e-02	1.257e-07	2.710e+00	1.179239e+01	0.1340	1.645312e+02	3.234e+01
 53	0.9483	-3.47e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.950e-02	1.256e-07	2.699e+00	1.173436e+01	0.1342	1.610938e+02	3.177e+01
 54	0.9436	-3.33e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.172e-02	1.251e-07	2.684e+00	1.167710e+01	0.1344	1.601875e+02	3.171e+01
 55	0.9389	-3.21e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.191e-02	1.262e-07	2.711e+00	1.161624e+01	0.1346	1.702969e+02	3.340e+01
 56	0.9346	-3.08e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.398e-02	1.245e-07	2.651e+00	1.157261e+01	0.1347	1.791406e+02	3.511e+01
 57	0.9309	-2.97e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.731e-02	1.290e-07	2.675e+00	1.150727e+01	0.1349	1.593281e+02	3.158e+01
 58	0.9322	-2.88e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	4.130e-02	1.360e-07	2.168e+00	1.149954e+01	0.1350	1.739375e+02	3.392e+01
 59	0.9502	-3.01e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	5.299e-02	1.772e-07	2.323e+00	1.153486e+01	0.1348	1.655156e+02	3.276e+01
 60	0.9626	-3.51e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	5.899e-02	1.671e-07	2.138e+00	1.166805e+01	0.1342	1.846250e+02	3.574e+01
 61	0.9638	-3.90e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	6.535e-02	1.369e-07	2.397e+00	1.180170e+01	0.1336	1.695000e+02	3.286e+01
 62	0.9586	-4.00e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	5.102e-02	1.290e-07	2.472e+00	1.179200e+01	0.1335	1.921875e+02	3.687e+01
 63	0.9527	-3.89e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.815e-02	1.254e-07	2.416e+00	1.176103e+01	0.1336	1.782500e+02	3.438e+01
 64	0.9481	-3.74e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	7.484e-03	1.254e-07	2.362e+00	1.170070e+01	0.1338	1.719531e+02	3.318e+01
 65	0.9438	-3.59e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	9.210e-03	1.251e-07	2.349e+00	1.164211e+01	0.1340	1.765156e+02	3.407e+01
 66	0.9396	-3.45e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	9.803e-03	1.250e-07	2.348e+00	1.158309e+01	0.1342	1.667656e+02	3.250e+01
 67	0.9357	-3.32e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.104e-02	1.250e-07	2.366e+00	1.152471e+01	0.1344	1.660469e+02	3.243e+01
 68	0.9318	-3.19e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.287e-02	1.251e-07	2.389e+00	1.146899e+01	0.1346	1.677969e+02	3.277e+01
 69	0.9280	-3.06e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.446e-02	1.252e-07	2.416e+00	1.141663e+01	0.1348	1.672188e+02	3.281e+01
 70	0.9244	-2.94e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.562e-02	1.254e-07	2.432e+00	1.136898e+01	0.1349	1.819531e+02	3.529e+01
 71	0.9209	-2.83e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.211e-02	1.256e-07	2.453e+00	1.132545e+01	0.1351	1.612500e+02	3.171e+01
 72	0.9176	-2.71e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	8.118e-03	1.255e-07	2.454e+00	1.128774e+01	0.1353	1.596562e+02	3.113e+01
 73	0.9144	-2.60e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	7.516e-03	1.256e-07	2.454e+00	1.125024e+01	0.1354	1.627500e+02	3.213e+01
 74	0.9113	-2.50e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	6.748e-03	1.256e-07	2.452e+00	1.121543e+01	0.1355	1.768906e+02	3.459e+01
 75	0.9084	-2.40e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	7.627e-03	1.254e-07	2.438e+00	1.118119e+01	0.1357	1.689531e+02	3.288e+01
 76	0.9055	-2.31e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	5.732e-03	1.256e-07	2.432e+00	1.114642e+01	0.1358	1.766094e+02	3.413e+01
 77	0.9027	-2.22e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	6.479e-03	1.261e-07	2.443e+00	1.111527e+01	0.1359	1.672812e+02	3.230e+01
 78	0.9000	-2.13e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	7.381e-03	1.262e-07	2.452e+00	1.109300e+01	0.1361	1.607500e+02	3.151e+01
 79	0.8974	-2.05e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	8.883e-03	1.268e-07	2.460e+00	1.107180e+01	0.1362	1.710469e+02	3.355e+01
 80	0.8948	-1.97e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.121e-02	1.257e-07	2.449e+00	1.105985e+01	0.1363	1.665000e+02	3.258e+01
 81	0.8925	-1.90e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.538e-02	1.292e-07	2.483e+00	1.103312e+01	0.1364	1.545938e+02	3.008e+01
 82	0.8914	-1.84e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.105e-02	1.238e-07	2.246e+00	1.105157e+01	0.1365	1.753750e+02	3.420e+01
 83	0.8942	-1.84e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.850e-02	1.434e-07	2.387e+00	1.098374e+01	0.1365	1.704531e+02	3.292e+01
